cadena,categoria,subcategoria,n
"Fidalga","Gaseosa Mendocina Guarana","Gaseosa Mendocina Guarana",1
"Fidalga","Maiz","Maiz",1
"Fidalga","Snack Canino","Snack Canino",1
"Fidalga","Fideo Anita Targliatelle al Huevo","Fideo Anita Targliatelle al Huevo",1
"Fidalga","Canela","Canela",1
"Fidalga","Agua Vital","Agua Vital",1
"Fidalga","Chicharrón de cerdo","Chicharrón de cerdo",1
"Fidalga","Gaseosa Mendocina Uva","Gaseosa Mendocina Uva",1
"Fidalga","Fideo Fettuccini","Fideo Fettuccini",1
"Fidalga","Pimienta Molida","Pimienta Molida",1
"Fidalga","Gomitas","Gomitas",1
"Fidalga","Insecticida Mata Mosca Sin Olor","Insecticida Mata Mosca Sin Olor",1
"Fidalga","Salsa Catsup","Salsa Catsup",1
"Fidalga","Detergente de Ropa","Detergente de Ropa",1
"Fidalga","Lavandina Lavanda","Lavandina Lavanda",1
"Fidalga","Biogurt LGG Frutilla","Biogurt LGG Frutilla",1
"Fidalga","Leche Saborizada Chocolate","Leche Saborizada Chocolate",1
"Fidalga","Gelatina Yeli","Gelatina Yeli",1
"Fidalga","Tallarin","Tallarin",1
"Fidalga","Ron Abuelo","Ron Abuelo",1
"Fidalga","Galletas Rosquitas Chocolate","Galletas Rosquitas Chocolate",1
"Fidalga","Pan de Hamburguesa","Pan de Hamburguesa",1
"Fidalga","Ambientador Vainilla","Ambientador Vainilla",1
"Fidalga","Limpia Vidrio Sapolio","Limpia Vidrio Sapolio",1
"Fidalga","Cappuccino Clasico","Cappuccino Clasico",1
"Fidalga","Agua de Mesa","Agua de Mesa",1
"Fidalga","Nuggets Dino","Nuggets Dino",1
"Fidalga","Hamburguesas","Hamburguesas",1
"Hipermaxi","Cuidado Personal","Cuidado Personal",2190
"Hipermaxi","Abarrotes","Abarrotes",2099
"Hipermaxi","Cuidado Del Hogar","Cuidado Del Hogar",1925
"Hipermaxi","Bebidas","Bebidas",1819
"Hipermaxi","Lacteos Y Derivados","Lacteos Y Derivados",553
"Hipermaxi","Cuidado Del Bebe","Cuidado Del Bebe",323
"Hipermaxi","Todo Para La Previa","Todo Para La Previa",66
"Hipermaxi","Cudados Otc","Cudados Otc",52
"Hipermaxi","Se Armo El Junte","Se Armo El Junte",47
"Hipermaxi","Vinos Y Espumantes","Vinos Y Espumantes",33
"Hipermaxi","Supermercado","Supermercado",27
"Hipermaxi","Salud Y Belleza","Salud Y Belleza",27
"Hipermaxi","Lacteos Y Derivados","Quesos",12
"Hipermaxi","Lacteos Y Derivados","Yogures",12
"Hipermaxi","Detergentes Y Jabones","Detergentes Y Jabones",9
"Hipermaxi","","",9
"Hipermaxi","Veranango","Veranango",9
"Hipermaxi","Los Imperdibles 2 Stickers","Los Imperdibles 2 Stickers",9
"Hipermaxi","Tiempo En Familia","Tiempo En Familia",8
"Hipermaxi","Zona Papa","Zona Papa",6
"Hipermaxi","Skincare","Skincare",6
"Hipermaxi","Farmacia Otc","Farmacia Otc",6
"Hipermaxi","Toallas Humedas Y Panales","Toallas Humedas Y Panales",5
"Hipermaxi","Nachos","Nachos",5
"Hipermaxi","Lacteos Y Derivados","Mantequillas Y Margarinas",4
"Hipermaxi","Salsas Sazonadores Y Aderezos","Salsas Sazonadores Y Aderezos",4
"Hipermaxi","Mostaza","Mostaza",4
"Hipermaxi","Tu Proxima Compra Empieza Aqui","Tu Proxima Compra Empieza Aqui",4
"Hipermaxi","Enlatados Y Envasados","Enlatados Y Envasados",3
"Hipermaxi","Insecticida Mata Todo","Insecticida Mata Todo",3
"Hipermaxi","Arroz","Arroz",3
"Hipermaxi","Sorprendela Con Regalos Para Ella","Sorprendela Con Regalos Para Ella",3
"Hipermaxi","Gelatina","Gelatina",3
"Hipermaxi","Zyn","Zyn",3
"Hipermaxi","Detergente","Detergente",3
"Hipermaxi","Despensa","Despensa",3
"Hipermaxi","Mantequilla Y Margarinas","Mantequilla Y Margarinas",3
"Hipermaxi","Alimento Balanceado","Alimento Balanceado",2
"Hipermaxi","Lo Nuevo","Lo Nuevo",2
"Hipermaxi","Bebidas","Cervezas",2
"Hipermaxi","Dulce de Leche","Dulce de Leche",2
"Hipermaxi","Detergente Polvo Limon","Detergente Polvo Limon",2
"Hipermaxi","Azucar","Azucar",2
"Hipermaxi","Avena Instantanea","Avena Instantanea",2
"Hipermaxi","Preparate Para El Junte","Preparate Para El Junte",2
"Hipermaxi","Lacteos Y Derivados","Leches",2
"Hipermaxi","Reposteria","Reposteria",2
"Hipermaxi","Galleta Mabels","Galleta Mabels",2
"Hipermaxi","Fideos Y Pastas","Fideos Y Pastas",2
"Hipermaxi","Goma Mogul","Goma Mogul",2
"Hipermaxi","Mascotas","Mascotas",2
"Hipermaxi","Galleta Wafer","Galleta Wafer",2
"Hipermaxi","Ofertas Del Mes","Ofertas Del Mes",2
"Hipermaxi","Salud Y Proteccion Para Todos","Salud Y Proteccion Para Todos",2
"Hipermaxi","Fideo Anita Farfalle al Huevo","Fideo Anita Farfalle al Huevo",1
"Hipermaxi","Salsa","Salsa",1
"Hipermaxi","Insecticida Mata Mosca y Mosquito","Insecticida Mata Mosca y Mosquito",1
"Hipermaxi","Ofertas","Ofertas",1
"Hipermaxi","Yerba Mate","Yerba Mate",1
"Hipermaxi","Aceite","Aceite",1
"Hipermaxi","Salsa Soya","Salsa Soya",1
"Hipermaxi","Fideo Fettuccini","Fideo Fettuccini",1
"Hipermaxi","Sopas Caldos Y Pure","Sopas Caldos Y Pure",1
"Hipermaxi","Leche Deslactosada","Leche Deslactosada",1
"Hipermaxi","Sal Lobo","Sal Lobo",1
"Hipermaxi","Despensa y Conservas","Despensa y Conservas",1
"Hipermaxi","Harina","Harina",1
"Hipermaxi","Salsa de Tomate","Salsa de Tomate",1
"Hipermaxi","Semana Infantil","Semana Infantil",1
"Hipermaxi","Snack Attack","Snack Attack",1
"Hipermaxi","Jabon","Jabon",1
"Hipermaxi","Ambientador Eucalipto","Ambientador Eucalipto",1
"Hipermaxi","Lavandina","Lavandina",1
"Hipermaxi","Shampoo Johnson","Shampoo Johnson",1
"Hipermaxi","Caldo en Cubo","Caldo en Cubo",1
"Hipermaxi","Barra de Chocolate","Barra de Chocolate",1
"Hipermaxi","Detergente Limon","Detergente Limon",1
"Hipermaxi","Pimienta Molida","Pimienta Molida",1
"Hipermaxi","Maiz","Maiz",1
"Hipermaxi","Detergente Ultra Floral","Detergente Ultra Floral",1
"Hipermaxi","Detergente Polvo Matic","Detergente Polvo Matic",1
"Hipermaxi","Chocolate Cofler Air Blanco","Chocolate Cofler Air Blanco",1
"Hipermaxi","Foodies","Foodies",1
"Hipermaxi","Ketchup","Ketchup",1
"Hipermaxi","Mermelada Frutilla","Mermelada Frutilla",1
"Hipermaxi","Mermelada","Mermelada",1
"Hipermaxi","LasaÃ±a","LasaÃ±a",1
"Hipermaxi","Los Imperdibles 1 Sticker","Los Imperdibles 1 Sticker",1
"Hipermaxi","Sal","Sal",1
"Hipermaxi","Insecticida Mata Mosca Sin Olor","Insecticida Mata Mosca Sin Olor",1
"Hipermaxi","Takis Original","Takis Original",1
"Hipermaxi","Crema de Esparrago","Crema de Esparrago",1
"Hipermaxi","Takis Fuego","Takis Fuego",1
"Hipermaxi","Fideo Cabello de Angel","Fideo Cabello de Angel",1
"Hipermaxi","Galletas Rosquitas Chocolate","Galletas Rosquitas Chocolate",1
"Hipermaxi","Extracto de tomate","Extracto de tomate",1
"Hipermaxi","Aceite de Soya","Aceite de Soya",1
"Hipermaxi","Toddy","Toddy",1
"Hipermaxi","Flan de Vainilla","Flan de Vainilla",1
"Hipermaxi","Leche Condesada","Leche Condesada",1
"Hipermaxi","Vapes","Vapes",1
"Hipermaxi","Leche","Leche",1
"Hipermaxi","Fideo Rigatonio","Fideo Rigatonio",1
"Hipermaxi","Caldo de Costilla","Caldo de Costilla",1
"Hipermaxi","Puré de Tomate","Puré de Tomate",1
"Hipermaxi","Caldo de Gallina","Caldo de Gallina",1
"Hipermaxi","Galleta Surtida","Galleta Surtida",1
"Hipermaxi","Trigo","Trigo",1
"Hipermaxi","Detergente Baby","Detergente Baby",1
"Hipermaxi","Comino Molido","Comino Molido",1
"Hipermaxi","Oregano","Oregano",1
"Hipermaxi","Galleta de chocolate","Galleta de chocolate",1
"Hipermaxi","Fideo Anita Spaguetti al Huevo","Fideo Anita Spaguetti al Huevo",1
"Hipermaxi","Crema de Leche","Crema de Leche",1
"Hipermaxi","Durazno al Jugo","Durazno al Jugo",1
"Hipermaxi","Insecticida Mata Cucarachas","Insecticida Mata Cucarachas",1
"Hipermaxi","Fideo Canuto","Fideo Canuto",1
"Hipermaxi","Fideo Anita Targliatelle al Huevo","Fideo Anita Targliatelle al Huevo",1
"Hipermaxi","Frutas","Frutas",1
"Hipermaxi","Fideo Spaguetti","Fideo Spaguetti",1
"Hipermaxi","Galletas Roquitas Banana","Galletas Roquitas Banana",1
"Hipermaxi","Salud Y Bienestar","Salud Y Bienestar",1
"Hipermaxi","Leche Evaporada","Leche Evaporada",1
"Hipermaxi","Galletas Rosquitas Vainilla","Galletas Rosquitas Vainilla",1
"Hipermaxi","Papas Pringles","Papas Pringles",1
"Hipermaxi","Detergente Bolivar Floral","Detergente Bolivar Floral",1
"Hipermaxi","Fideo Espiral","Fideo Espiral",1
"Hipermaxi","Veranol","Veranol",1
"Hipermaxi","Pepinillo","Pepinillo",1
"Hipermaxi","Jabón Liquido","Jabón Liquido",1
"Hipermaxi","Papa Fritas","Papa Fritas",1
